2015, Starship Entertainment, 몬스타엑스(MONSTA X), Trespass
2015, Starship Entertainment, 몬스타엑스(MONSTA X), Rush
2015, Starship Entertainment, 몬스타엑스(MONSTA X), Hero
2015, Starship Entertainment, 몬스타엑스(MONSTA X), Steal Your Heart
2015, Starship Entertainment, 몬스타엑스(MONSTA X), Perfect Girl
2016, Starship Entertainment, 몬스타엑스(MONSTA X), All In
2016, Starship Entertainment, 몬스타엑스(MONSTA X), Stuck
2016, Starship Entertainment, 몬스타엑스(MONSTA X), Fighter
2016, Starship Entertainment, 몬스타엑스(MONSTA X), Ex Girl (feat. Whee In of MAMAMOO)
2016, Starship Entertainment, 몬스타엑스(MONSTA X), Ready or Not
2017, Starship Entertainment, 몬스타엑스(MONSTA X), Beautiful
2017, Starship Entertainment, 몬스타엑스(MONSTA X), Shine Forever
2017, Starship Entertainment, 몬스타엑스(MONSTA X), Newton
2017, Starship Entertainment, 몬스타엑스(MONSTA X), Dramarama
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Jealousy
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Shoot Out
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Livin' It Up
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Alligator
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Spotlight
2018, Starship Entertainment, 몬스타엑스(MONSTA X), Heart Attack
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Alligator
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Rodeo
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Play It Cool (with Steve Aoki)
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Someone's Someone
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Find You
2019, Starship Entertainment, 몬스타엑스(MONSTA X), Middle of the Night
2020, Starship Entertainment, 몬스타엑스(MONSTA X), Fantasia
2020, Starship Entertainment, 몬스타엑스(MONSTA X), Love Killa
2020, Starship Entertainment, 몬스타엑스(MONSTA X), Flow
2020, Starship Entertainment, 몬스타엑스(MONSTA X), Stand Up
2020, Starship Entertainment, 몬스타엑스(MONSTA X), Nobody Else
2021, Starship Entertainment, 몬스타엑스(MONSTA X), Gambler
2021, Starship Entertainment, 몬스타엑스(MONSTA X), One Day
2021, Starship Entertainment, 몬스타엑스(MONSTA X), You Problem
2021, Starship Entertainment, 몬스타엑스(MONSTA X), Kiss or Death
2021, Starship Entertainment, 몬스타엑스(MONSTA X), Secret
2022, Starship Entertainment, 몬스타엑스(MONSTA X), Rush Hour
2022, Starship Entertainment, 몬스타엑스(MONSTA X), Ride with U
2022, Starship Entertainment, 몬스타엑스(MONSTA X), Love
2022, Starship Entertainment, 몬스타엑스(MONSTA X), Burning Up (feat. R3HAB)
2022, Starship Entertainment, 몬스타엑스(MONSTA X), Wildfire
2023, Starship Entertainment, 몬스타엑스(MONSTA X), Beautiful Liar
2023, Starship Entertainment, 몬스타엑스(MONSTA X), Daydream
2023, Starship Entertainment, 몬스타엑스(MONSTA X), Chaotic
2023, Starship Entertainment, 몬스타엑스(MONSTA X), Lone Ranger
2023, Starship Entertainment, 몬스타엑스(MONSTA X), Crescendo
2020, Starship Entertainment, 크래비티(CRAVITY), Break all the Rules
2020, Starship Entertainment, 크래비티(CRAVITY), Jumper
2020, Starship Entertainment, 크래비티(CRAVITY), Blackout
2020, Starship Entertainment, 크래비티(CRAVITY), Stay
2020, Starship Entertainment, 크래비티(CRAVITY), Cloud 9
2020, Starship Entertainment, 크래비티(CRAVITY), Top of the Chain
2020, Starship Entertainment, 크래비티(CRAVITY), Star
