title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
모두 가져가,221000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
모르죠,259000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
무죄 (Narration 박수홍/최성국),239000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
미운오리새끼,264000.0,G.O.D,미운오리새끼,,,KR,2014-05-08,,g.o.d,2014
바보,236000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
반대가 끌리는 이유,254000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
보통날,212000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
사랑? 사랑!,196000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
사랑의 동그라미,213000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
사랑이 너무 아프던 날 (Narration 김동윤),111000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
사랑이 영원하다면,202919.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
"사랑이 전부였던 날 (Narration 김동윤, 이세은)",73000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
사랑이 힘들때,221000.0,"G.O.D, 임정희",Chapter 6,,,KR,2004-12-09,,g.o.d,2004
사랑이야기,224000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
사랑해 그리고 기억해,265000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
슬픈사랑,226000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
신사의 품격 (G'swag),211000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
아저씨와 메건리,96000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
애수,249000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
약속,217000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
어머님께,256000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
"왜 작사:박진영,방시혁",234580.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
요즘,255000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
