release_id,title,status,release_date,country,artists
be057bc8-3991-43d2-8b4e-bedbe7af4f55,Ring Ring,Official,2021-05-17,XW,Rocket Punch
bf430b0d-f283-4ab9-a8c8-c77d9e4c8456,Boyager,Official,2020-10-28,KR,DRIPPIN
c5ffb2a4-fd83-4c61-a390-2e9d2fa6f65c,Gol-Cha!,Official,2017-08-28,KR,Golden Child
c61dfe21-982d-453f-bd2e-308b6da08bca,WISH,Official,2018-10-24,KR,Golden Child
c6350440-636f-424e-94f5-0b5ec3c5d7fa,PINK PUNCH,Official,2019-08-07,KR,Rocket Punch
c7eed3b9-5de2-487c-8e72-7baef889a907,Boyager,Official,2020-10-28,KR,DRIPPIN
c878d70a-6a80-48fb-828b-8d466e94a07e,A Better Tomorrow,Official,2021-03-17,KR,DRIPPIN
c8871665-7ba1-44f0-b4e9-7dba464a98f1,Boyager,Official,2020-10-28,XW,DRIPPIN
c9906437-9b2f-4798-b6d5-2ff9bab1753f,Bye,Official,2019-03-04,KR,동우
c99173e9-9505-4716-8a87-38e03c06cf37,Boyager,Official,2020-10-28,ID,DRIPPIN
cb23eb38-4c67-4c1a-94ca-1a6116a13378,Goldenness,Official,2018-07-04,KR,Golden Child
d41375c6-33e2-4f6e-ae64-a1cb5ca12db0,Re-boot,Official,2019-11-18,KR,Golden Child
d72d3797-1add-47eb-9c8a-7906dcad29a6,R U Ready?,Official,2017-02-26,KR,Lovelyz
db25a839-4879-4a64-a2fa-38404d04fd1d,Pump It Up,Official,2020-10-07,KR,Golden Child
dc2044b4-c0c4-45f7-b0fd-06327fc9781e,SANCTUARY,Official,2018-11-26,US,Lovelyz
dca0886c-65a8-4b55-a702-c19e57b82cab,WISH,Official,2018-10-24,US,Golden Child
df92f0da-f810-4c1a-bfae-9972b0477e07,Ring Ring (acoustic ver.),Official,2021-07-15,KR,Rocket Punch
e12f1afa-4a0f-4ac1-9f59-b5c26ea789ee,Goldenness,Official,2018-07-04,KR,Golden Child
e1ae32cb-256f-44ea-977e-091eb7939580,Ring Ring,Official,2021-05-17,KR,Rocket Punch
e693fbdc-608a-456e-8aa7-63850beec159,RED PUNCH,Official,2020-02-10,KR,Rocket Punch
e9af1923-fa65-4e7d-bf5e-165569f19953,"지금, 우리",Official,2017-05-02,KR,Lovelyz
f28c1905-920b-4f58-bc38-1a7a325c095e,Top Seed,Official,2018-01-08,US,INFINITE
fc6a4d49-d8f7-4b66-adfc-c8acae5954aa,Muse on Music,Official,2018-09-10,KR,Lovelyz
fe9dd817-3a3f-4c04-be03-a86f42f31a45,Over and Over,Official,2019-10-08,KR,Kei
022ca4d2-9dcd-4679-ad06-aa820e34d9bf,Like Heaven,Official,2023-10-24,,"KWON EUNBI, Paul Blanco"
1623990e-fedd-4ac8-a615-81244650e9e0,Feel me,Official,2023-11-02,,Golden Child
171dbbd7-bcfa-4c5c-9911-fded032c4be2,The Flash,Official,2023-08-02,KR,KWON EUNBI
2f01af76-e865-4801-a965-5fde31f3c459,크리스마스의 기적,Official,2022-12-19,KR,"Lee Su Jeong, 이우"
34c7749f-9d34-448d-80bf-189239b14218,FLASH,Official,2022-08-29,KR,Rocket Punch
48dfff6a-01f2-4449-bc5b-9bf1c3a167e4,FLASH,Official,2022-08-29,AF,Rocket Punch
4d085cd5-8e1b-4eb5-9544-04498cda8a31,Lethality,Official,2022-10-12,KR,KWON EUNBI
6fd5fce7-c498-46f1-a1e3-6d240282242d,Lethality,Official,2022-10-12,KR,KWON EUNBI
a9405d9d-8652-4d91-a168-9012db7def7e,KPOP CTzen (Original Soundtrack),Pseudo-Release,2022-08-17,XW,KWON EUNBI
ac7794b5-5aab-44e4-a009-f720a104c2d0,Lethality,Official,2022-10-12,KR,KWON EUNBI
b33f6f6f-98c5-435c-88cf-ce516a3bcb31,Villain : ZERO,Official,2022-06-15,KR,DRIPPIN
b71b753f-4a23-48ad-bb9c-fbcc9346f4b0,BOOM,Official,2023-09-06,KR,Rocket Punch
b91c5914-b410-4b9a-954d-66ee033cd149,The Flash,Official,2023-08-02,XW,KWON EUNBI
d375cf67-4630-462a-9d03-dd31ad553ba8,SEVEN SINS,Official,2023-04-19,XW,DRIPPIN
d5255cc0-be28-4d19-8e6d-3b60b5a55f45,Beautiful MAZE,Official,2024-04-03,XW,DRIPPIN
e0aad21c-e314-429c-bc4e-c10487dee435,Lethality,Official,2022-10-12,AF,KWON EUNBI
f33b4491-22a0-45bd-bf89-845393e4eb59,BOOM,Official,2023-09-06,XW,Rocket Punch
f42b1025-8361-47c9-b9f7-7ae383dcc8a5,Villain : The End,Official,2022-11-15,XW,DRIPPIN
f7e9053f-1109-44e3-ae67-ad3b5c929003,AURA,Official,2022-08-08,AF,Golden Child
